Seen before,Age
Never,0 to 5
Never,0 to 5
Never,Over 21
Never,Over 21
Never,0 to 5
Never,Over 21
Never,Over 21
Never,Over 21
Once,10 to 14
Never,6 to 9
Never,Over 21
Never,10 to 14
Never,10 to 14
Never,6 to 9
Once,10 to 14
Never,Over 21
Never,Over 21
Never,Over 21
Never,Over 21
Never,Over 21
Never,10 to 14
Never,0 to 5
Never,Over 21
Once,10 to 14
Never,6 to 9
Never,6 to 9
Never,Over 21
Once,Over 21
Never,Over 21
Never,Over 21
Never,Over 21
Never,Over 21
Never,6 to 9
Never,Over 21
Once,10 to 14
More than Once,10 to 14
Never,0 to 5
Never,6 to 9
Never,Over 21
Never,0 to 5
Never,6 to 9
Never,10 to 14
Never,Over 21
Never,Over 21
More than Once,6 to 9
Never,Over 21
Never,15 to 21
Once,10 to 14
Once,10 to 14
Once,10 to 14
Once,10 to 14
More than Once,10 to 14
Never,10 to 14
Once,Over 21
Never,Over 21
Never,Over 21
Never,0 to 5
Never,Over 21
Never,10 to 14
Once,10 to 14
Once,10 to 14
Once,6 to 9
Never,15 to 21
Once,10 to 14
Never,0 to 5
Never,Over 21
Never,10 to 14
Never,Over 21
Never,Over 21
Never,0 to 5
Once,Over 21
Never,0 to 5
Never,Over 21
Never,6 to 9
Never,10 to 14
More than Once,10 to 14
Never,6 to 9
Never,10 to 14
Once,10 to 14
Never,Over 21
Once,6 to 9
Never,10 to 14
Never,Over 21
Never,Over 21
Never,Over 21
Never,Over 21
Never,10 to 14
Never,Over 21
Once,10 to 14
Never,6 to 9
Never,Over 21
Never,Over 21
More than Once,10 to 14
Never,15 to 21
Never,Over 21
Never,Over 21
Never,Over 21
Never,Over 21
Never,6 to 9
Never,10 to 14
Never,Over 21
Never,10 to 14
Never,Over 21
More than Once,10 to 14
More than Once,10 to 14
Never,Over 21
More than Once,10 to 14
